WEATHER STATION DAILY REPORT
Generated: January 18, 2026 at 07:53 AM

SUMMARY
Total Stations: 284
Online: 173
Offline: 111
Uptime: 60.9%
Max Temperature: 19.3°C at Syed Zeeshan AWS
Max Rainfall: 1.0 mm at Mumtaz Haider

CATEGORY BREAKDOWN
Category,Online,Offline,Total,Uptime %
Corporate,0,0,0,0.0%
Community,173,111,284,60.9%
Reference,0,0,0,0.0%
Owner,0,0,0,0.0%
Wu,0,0,0,0.0%

SOURCE BREAKDOWN
Source,Online,Offline,Total,Uptime %
Davis,142,62,204,69.6%
Misol,18,5,23,78.3%
WU,1,43,44,2.3%

STATION DETAILS
Station ID,Station Name,Source,Status,Category,Temperature (°C),Rainfall (mm),Uptime 24h (%),Last Seen
186109,"RRI, Kala Shah Kaku",Davis,Active,community,4.3,0.4,100.0,
228881,"Terrace Grill AWS",Davis,Active,community,4,0,100.0,
159738,"Raza AWS",Davis,Active,community,7.1,0,100.0,
163601,"Abdul Manan",Davis,Active,community,4.2,0.2,95.8,
163333,"Imran",Davis,Active,community,7.2,0,100.0,
158829,"BCL Daud Khel AWS",Davis,Active,community,9,0,100.0,
C21,"Liaquatpur",Misol,Active,community,8.2,,100.0,
164176,"IRC AWS",Davis,Disabled,community,,0,0.0,
169205,"PDMA AWS",Davis,Inactive,community,,0,32.1,
C16,"Usama Hussain AWS",Misol,Active,community,9.2,,96.4,
C17,"Pir Mahal AWS",Misol,Active,community,5.6,,100.0,
160691,"Raza  AWS",Davis,Inactive,community,,0,0.0,
160700,"Muhammad Tariq AWS",Davis,Inactive,community,,0,0.0,
170332,"Ameer Abdullah Gadani AWS",Davis,Active,community,9.6,0,78.6,
175132,"Stud Farm AWS",Davis,Inactive,community,,0.2,100.0,
147761,"Kashif AWS",Davis,Active,community,7.8,0,35.7,
147492,"Hamid AWS",Davis,Active,community,9.1,0,89.3,
162057,"Ghulam Murtaza AWS",Davis,Active,community,8.6,0,100.0,
162130,"Comsats Vehari AWS",Davis,Inactive,community,,0,0.0,
164315,"Abdul Shakoor AWS",Davis,Active,community,5.8,0,100.0,
164179,"IRC AWS",Davis,Inactive,community,,0,0.0,
164181,"IRC AWS",Davis,Inactive,community,,0,84.6,
170382,"Tariq Ali AWS",Davis,Active,community,12.2,0,100.0,
175222,"Agricultural Complex MFRO AWS",Davis,Active,community,9.7,0,96.2,
C12,"Saif AWS",Misol,Active,community,9.7,,100.0,
188822,"WFP AWS",Davis,Active,community,7.1,0,100.0,
188834,"WFP AWS",Davis,Inactive,community,,0,0.0,
177683,"Muzaffarabad city AWS",Davis,Active,community,5.1,0,100.0,
170426,"Syed Zeeshan AWS",Davis,Active,community,19.3,0,100.0,
170433,"Muavia Malik AWS",Davis,Inactive,community,,0,80.0,
175318,"Pivot Complex AWS",Davis,Inactive,community,,0,0.0,
175407,"Ali Zafar AWS",Davis,Inactive,community,,0,0.0,
162345,"Ashfaq Raza AWS",Davis,Active,community,9.6,0,100.0,
162329,"Danial Sheikh AWS",Davis,Active,community,7.5,0.2,100.0,
177740,"Miani Bandi AWS",Davis,Inactive,community,,0,24.0,
177802,"Tafheem AWS",Davis,Active,community,5.4,0,100.0,
170462,"Nabeel Ahmed Siddiqui AWS",Davis,Inactive,community,,0,40.0,
170469,"Syed Irtiza AWS",Davis,Active,community,15.1,0,96.0,
175416,"kari Chan Farms AWS",Davis,Active,community,11.7,0,100.0,
202114,"Terra Crop",Davis,Active,community,8.2,0,100.0,
168681,"Shaban AWS",Davis,Active,community,5.8,0,100.0,
170481,"Uneeba Waqar AWS",Davis,Inactive,community,,0,0.0,
170556,"Faizan AWS",Davis,Inactive,community,,0.4,76.0,
162416,"Baghbanpura AWS",Davis,Active,community,9.5,0,100.0,
162474,"Ashfaq Raza AWS",Davis,Active,community,9.2,0,100.0,
C23,"Sadhoke AWS",Misol,Active,community,4.5,,100.0,
164594,"Yasir Tipu AWS",Davis,Inactive,community,,0,0.0,
164604,"Amir Nawaz AWS",Davis,Active,community,2.5,0,100.0,
168729,"Saqib Ali AWS",Davis,Active,community,7.9,0,100.0,
170638,"Iqra University North Campus",Davis,Active,community,15.1,0,100.0,
173079,"Green Agritech Farms AWS",Davis,Active,community,4.3,0.2,100.0,
173126,"ARFU AWS",Davis,Inactive,community,,0,4.0,
199831,"Mehran Uni AWS",Davis,Active,community,15.2,0,100.0,
199834,"Mehran Uni AWS",Davis,Active,community,12.2,0,100.0,
175472,"Faisal Burghari",Davis,Active,community,11.8,0,88.0,
175480,"Khoski Agricultural Complex AWS",Davis,Inactive,community,,0,84.0,
IPINDI7,"Mianwala, PindiGheb",WU,Disabled,community,,,0.0,
162498,"Hamna Malik AWS",Davis,Active,community,5.4,0,100.0,
164690,"Muhammad Ayan AWS",Davis,Active,community,7.5,0,100.0,
191766,"Water Managment Research Farm AWS",Davis,Inactive,community,,0.2,0.0,
168734,"Muammar Shahzad AWS",Davis,Active,community,7.1,0,100.0,
170712,"Jamshed AWS",Davis,Disabled,community,,0,0.0,
175682,"Ghulam Murtaza AWS",Davis,Active,community,9.8,0,64.0,
166840,"Moeen Qasuria AWS",Davis,Inactive,community,,0.4,0.0,
166842,"Zamin Abbas AWS",Davis,Active,community,5.7,0,100.0,
168851,"Kamran Zafar AWS",Davis,Active,community,5.9,0,100.0,
178269,"MariEnergies MDCPF AWS",Davis,Active,community,8.9,0,100.0,
170725,"Zakir Ahmed AWS",Davis,Active,community,14.1,0,100.0,
170765,"Ali Nizamani",Davis,Inactive,community,,0,76.0,
175830,"Upcrop AWS",Davis,Active,community,4,0,100.0,
174057,"Abdul Qadeer Ghouri AWS",Davis,Inactive,community,,0,64.0,
162588,"Muhammad Awais AWS",Davis,Active,community,2.9,0,84.0,
166865,"Mudassar Baloch AWS",Davis,Active,community,6.8,0,92.0,
166868,"Zulfikar Ali AWS",Davis,Active,community,7.6,0,100.0,
168865,"Owais AWS",Davis,Inactive,community,,0.2,56.0,
175970,"Fatima AG Solutions AWS",Davis,Active,community,5.7,0,84.0,
166904,"Ameen Ullah AWS",Davis,Inactive,community,,0,0.0,
166907,"Shafiq ur rehman AWS",Davis,Active,community,7.7,0,72.0,
169020,"Hashir Saleh Bhatti AWS",Davis,Active,community,8.4,0,100.0,
178395,"Salal AWS",Davis,Active,community,6.2,0,100.0,
178386,"Muhammad Arif AWS",Davis,Active,community,6.9,0,100.0,
166990,"Ali Malik AWS",Davis,Active,community,7.6,0,100.0,
167006,"Asif Qaisrani AWS",Davis,Inactive,community,,0,88.0,
192289,"SSUET New Campus AWS",Davis,Disabled,community,,0,0.0,
202668,"Sargodha AWS",Davis,Active,community,6.1,0,100.0,
160726,"Rana Hassan AWS",Davis,Active,community,8,0,72.0,
160777,"Hashir AWS",Davis,Disabled,community,,0,0.0,
C7,"Bilal Zubair AWS",Misol,Inactive,community,,,0.0,
178475,"Usman Asif AWS",Davis,Inactive,community,,0,0.0,
178480,"Malakwal AWS",Davis,Active,community,6.3,0,100.0,
IMURREE2,"Murree",WU,Disabled,community,,,0.0,
167088,"Shafiq Baloch AWS",Davis,Active,community,10.1,0,100.0,
167102,"Muhammad Yousaf AWS",Davis,Active,community,7.2,0,100.0,
169126,"Garha More AWS",Davis,Active,community,7.6,0,100.0,
C26,"Mashhood AWS",Misol,Active,community,5.3,,100.0,
205861,"MariEnergies CMF 2 AWS",Davis,Active,community,10.4,0,100.0,
C4,"Arsalan Mazhar AWS",Misol,Active,community,8.3,,100.0,
C5,"Raees Ahmed AWS",Misol,Inactive,community,,,0.0,
168781,"Muhammad Huzaifa AWS",Davis,Active,community,7.4,0,100.0,
C19,"AliMalik AWS",Misol,Active,community,4,,100.0,
185206,"Syed Ashiq Kirmani AWS",Davis,Inactive,community,,0,0.0,
C22,"Mashood AWS",Misol,Active,community,6.5,,96.0,
165326,"Malik Waqar AWS",Davis,Active,community,3.7,0,100.0,
160873,"Kashif Ali AWS",Davis,Active,community,7.7,0,96.0,
163264,"Azmo Farm AWS",Davis,Active,community,2.2,0,100.0,
C25,"Saifullah AWS",Misol,Active,community,4.9,,100.0,
169407,"Majeed khan AWS",Davis,Disabled,community,,0,0.0,
169438,"Dadullah Afghan AWS",Davis,Active,community,4.2,0,80.0,
169455,"Aimal AWS",Davis,Inactive,community,,0,0.0,
C6,"Junaid Yamin AWS",Misol,Inactive,community,,,0.0,
221876,"Kot Pindi Das Interchange",Davis,Active,community,4.1,0.2,100.0,
160951,"Bhalwal AWS",Davis,Active,community,6.8,0,100.0,
221803,"Sial mor AWS",Davis,Active,community,5.4,0,96.0,
169497,"Abdur Razzaq AWS",Davis,Disabled,community,,,0.0,
169500,"Waheed Baloch AWS",Davis,Disabled,community,,0,0.0,
174130,"Nouman Mughal AWS",Davis,Active,community,6,0,100.0,
163360,"Kashif Hussain AWS",Davis,Active,community,8.7,0,100.0,
163347,"Zafar Wattoo AWS",Davis,Active,community,5.1,0,100.0,
169639,"Habib Ur Rehman AWS",Davis,Active,community,2.2,0,84.0,
IKUNRI2,"Chak Number 4 AWS",WU,Inactive,community,,0,0.0,
165656,"Syngenta CPD Trialing hub station",Davis,Active,community,4.5,0.2,100.0,
174221,"Tehseen Nawaz AWS",Davis,Active,community,6.8,0,100.0,
C8,"Siddique Awan AWS",Misol,Active,community,1.5,,100.0,
C9,"Faheem Malik AWS",Misol,Active,community,6.7,,100.0,
C10,"Naveed Malik AWS",Misol,Active,community,11.6,,100.0,
165665,"Okara City",Davis,Active,community,4,0.2,100.0,
165726,"Syngenta AWS",Davis,Inactive,community,,,28.0,
165732,"Bahria Town AWS",Davis,Active,community,7.7,0,92.0,
165757,"Adeel Hashmi AWS",Davis,Active,community,8.3,0.2,100.0,
127500,"Tabbish Mehmood AWS",Davis,Active,community,4.2,0,100.0,
128168,"Dildar Khan AWS",Davis,Active,community,5.9,0,100.0,
128522,"Inam ul Haq",Davis,Active,community,3.7,0,92.0,
IISLAMAB22,"Nabeel AWS",WU,Inactive,community,,0,16.0,
IISLAM13,"QAU AWS",WU,Inactive,community,,0,16.0,
IISLAM9,"Abdullah AWS",WU,Disabled,community,40,0,0.0,
221884,"Hiran Minar Interchange",WU,Active,community,4.3,0,100.0,
IPUNJA24,"Bassali Village AWS",WU,Inactive,community,,0,16.0,
IISLAM1,"Shah House AWS",WU,Disabled,community,,0,0.0,
IPUNJA22,"Miana Thub, AWS",WU,Inactive,community,,0,16.0,
IRAWAL3,"Zaraj AWS",WU,Disabled,community,,,0.0,
IISLAMAB7,"Bilal Ahmed AWS",WU,Disabled,community,,,0.0,
IISLAM11,"Sojhal AWS",WU,Disabled,community,,,0.0,
IPUNJABR2,"Talha Malik AWS",WU,Inactive,community,,0,16.0,
IRAWAL18,"Aziz Ahmed AWS",WU,Disabled,community,,,0.0,
IRAWAL29,"CHAKLALA SCHEME 3",WU,Inactive,community,,0,16.0,
IRAWAL16,"Gulshanabad, Rawalpindi",WU,Inactive,community,,0,16.0,
INUSHK12,"Nushki WU",WU,Disabled,community,35.6,0,0.0,
IFEDERAL8,"Bahria Town - Ph.2, RWP AWS",WU,Inactive,community,,0,16.0,
IKMILPUR2,"Waisa Chach Valley",WU,Inactive,community,,,0.0,
IKHYBERP3,"Shahbaz Garhi",WU,Disabled,community,,,0.0,
IKHYBE2,"DANDAO1",WU,Disabled,community,39.4,0,0.0,
ILAHOR14,"Lahore Cantt WU",WU,Inactive,community,,0,16.7,
I90582126,"Kot Rada Kishan",WU,Inactive,community,,0.3,4.2,
I90582706,"Bilal Farms (8/P), Khanpur Dist RYK, Pakistan",WU,Inactive,community,,0,16.7,
ISINDH20,"Abdul Haleem Buriro",WU,Inactive,community,,0,16.7,
ISINDH23,"Mirpurkhas, WNPK",WU,Inactive,community,,,0.0,
ISINDH25,"Bahria Town Karachi",WU,Disabled,community,,0,0.0,
IMURID1,"Muridke",WU,Disabled,community,,,0.0,
ITURBA4,"Turbat PWS",WU,Disabled,community,,,0.0,
IKARAC33,"Dolmen City",WU,Disabled,community,,,0.0,
IKARAC12,"Scheme-33, AWS",WU,Inactive,community,,0,0.0,
IKARAC25,"PakWeather KWU - Saadi Town, Yasar Umer",WU,Inactive,community,,0,16.7,
IKARAC24,"PakWeather, KWU, WNPK station Malir Cantt",WU,Disabled,community,,,0.0,
IKARAC17,"karachi central (PakWeather)",WU,Disabled,community,,,0.0,
ITANDO3,"Mehran Sugar Mills",WU,Inactive,community,,0,16.7,
IKARAC38,"Syed Irtaza AWS",WU,Inactive,community,,0,16.7,
IJATI2,"Sujawal",WU,Inactive,community,,0,16.7,
101361,"Sher Ali Tiwana",Davis,Active,community,6.6,0.2,100.0,
104536,"IUB Weather Station",Davis,Disabled,community,,,0.0,
117090,"govtgraduatecollegebhakkar",Davis,Disabled,community,,,0.0,
211337,"Valley Office",Davis,Active,community,7.9,0,75.0,
128962,"NUST AWS",Davis,Active,community,3.7,0,100.0,
129010,"Basit Ali Qazi",Davis,Active,community,4.7,0,100.0,
129104,"Gohar Ayub AWS",Davis,Active,community,7.3,0,100.0,
180025,"Muhammad Saleem AWS",Davis,Active,community,5.7,0,100.0,
180027,"Asif Khan Niazi",Davis,Inactive,community,,0,0.0,
129644,"Moeed Abbasi",Davis,Active,community,9.9,0,100.0,
129727,"Danish Baig",Davis,Active,community,12.9,0,70.8,
182269,"Hamza Babar AWS",Davis,Active,community,7.9,0,100.0,
130584,"Mumtaz Haider",Davis,Inactive,community,,1,0.0,
130787,"Malik Adnan",Davis,Active,community,2.6,0,75.0,
194398,"Talha Akbar AWS",Davis,Active,community,6.6,0,100.0,
183871,"Ariba Arif",Davis,Active,community,10.1,0,100.0,
144841,"Ghani Khan",Davis,Inactive,community,,0.6,0.0,
131374,"Hamza Qureshi AWS",Davis,Active,community,9.1,0,100.0,
147435,"Shahnawaz AWS",Davis,Inactive,community,,0,100.0,
131643,"Shaami Khan AWS",Davis,Active,community,8.6,0,100.0,
131893,"Nouman Shah AWS",Davis,Active,community,6.8,0,100.0,
220024,"Ali Tiwana AWS",Davis,Inactive,community,,0.4,20.8,
132393,"Muhammad Waqas AWS",Davis,Active,community,6.5,0,100.0,
132465,"Ali AWS",Davis,Active,community,9.7,0,100.0,
132463,"Usman Jajjah AWS",Davis,Active,community,6.1,0,100.0,
206075,"Umair AWS",Davis,Active,community,8.6,0,100.0,
133029,"Abdul Basit Khan AWS",Davis,Active,community,7.2,0,100.0,
133035,"Namal University AWS",Davis,Active,community,5.4,0,100.0,
133150,"Mahad Iftikhar AWS",Davis,Active,community,7.8,0,100.0,
133253,"Adeel Ahmed AWS",Davis,Active,community,7,0,100.0,
133425,"Saad Rafique AWS",Davis,Active,community,7.1,0,100.0,
133509,"Abdul Jabbar AWS",Davis,Active,community,7.8,0,100.0,
130231,"Abrar Ameen AWS",Davis,Active,community,9.1,0,100.0,
134031,"Shams ul Arifeen AWS",Davis,Inactive,community,,0,75.0,
134038,"Saleem Shahzad AWS",Davis,Active,community,8.1,0,100.0,
201736,"Furqan Afzal AWS",Davis,Active,community,6.4,0,100.0,
129498,"Faiza Baloch AWS",Davis,Active,community,3.6,0,50.0,
134268,"Muhammad Arslan AWS",Davis,Inactive,community,,0,0.0,
134297,"Umair Khan AWS",Davis,Active,community,18.2,0,100.0,
IKARAC41,"Muhammad Faizan Khan AWS",WU,Disabled,community,,,0.0,
IISLAM21,"I-10/1 AWS",WU,Inactive,community,,,16.7,
137535,"Mashhood Iqbal AWS",Davis,Active,community,5.4,0,45.8,
137991,"Muhammad Ayaz AWS",Davis,Inactive,community,,0,8.3,
IISLAM25,"Usama Arshad AWS",WU,Disabled,community,,,0.0,
IISLAM26,"F-8 ISLAMABAD",WU,Inactive,community,,,0.0,
146260,"Fozia Hossain AWS",Davis,Inactive,community,,0,20.8,
147145,"Kulsoom International AWS",Davis,Active,community,8.1,0,100.0,
C3,"Mishaal Awais AWS",Misol,Active,community,6,,100.0,
147425,"Ali Kazmi AWS",Davis,Active,community,8.4,0,95.8,
228127,"Kot Momin Toll Plaza",Misol,Active,community,7.5,0,100.0,
150067,"Farhan Hanif, AWS",Davis,Active,community,7.8,0,100.0,
150367,"Qasim Shafiq, AWS",Davis,Active,community,5.9,0,91.7,
150967,"Adnan Babar Reshi, AWS",Davis,Inactive,community,,0.4,0.0,
131812,"Furqan Afzal AWS",Davis,Active,community,4.3,0,100.0,
129090,"Saddam",Davis,Active,community,4.9,0,100.0,
129952,"Jahanzaib Ali",Davis,Active,community,6.8,0,54.2,
142628,"Muhammad Farrukh AWS",Davis,Active,community,2.5,0,100.0,
139347,"Muhammad Hatim AWS",Davis,Active,community,4.9,0.2,95.8,
133500,"Usman Akhtar AWS",ur1nt2rsilmny3tlmoc8l4g2ghpxoz3m,Active,community,18.6,0,100.0,
217831,"Faizan AWS",N/A,Inactive,community,,0,0.0,
216612,"Chakri Interchange AWS",N/A,Active,community,2.2,0,100.0,
221544,"Balkasar Interchange AWS",N/A,Active,community,8.6,0,100.0,
221563,"Islamabad interchange",N/A,Active,community,7.8,0,100.0,
221555,"Neela dulha Interchange",N/A,Active,community,3.3,0,100.0,
221695,"Kallar Kahar Interchange",N/A,Active,community,3.4,0,100.0,
221726,"Bhera Interchange",N/A,Active,community,7.9,0,100.0,
221703,"Lillah Interchange AWS",N/A,Active,community,12.1,0,100.0,
221746,"Salam Interchange",N/A,Active,community,6.8,0,100.0,
221873,"Ravi Interchange AWS",N/A,Active,community,3.8,0,95.8,
221910,"Khanqa Dograh Toll Plaza",N/A,Active,community,4.4,0,100.0,
221938,"Pindi Bhattian AWS",N/A,Active,community,4.1,0,100.0,
